class, given_name, surname, street_number, address_1, address_2, suburb, postcode, state, date_of_birth, age, phone_number, soc_sec_id
62,   michael, collier,99, wilshire street, locn 1699, numbaa,2192, sa, ,31, 08 78748941,3137130
699,   jayden, wiseman,3236, davidson street, , south perth,3073, qld,19420823,34, ,9612038
355, kaitlyn, webxb, , kallaroo road, , woree,3305, vic,19681020,32, 02 68898198,3602255
481,   jaxin, paterson,13, canning street, , llanarth,4305, nsw,19630730,38, 07 44598583,2959451
631,   william, huettenrauch,2, leahy close, , ,4216, qld,19030406, , 04 60943911,1276968
404, mikhayla, zimmerann,19, banvard place, wallerwaugh, tea tree gully,2030, qld,19430888,33, 03 62704428,8370653
532,   joshua, mcneill,4, limestone avenue, blue haven village, mcdowall,5167, qld, ,35, 08 97517010,6458357
322,   , kutzmanovic,87, boniwell street, , mulgrave east,2830, nt,19920229,10, 04 96277996,8686345
109,   nikki, matthews,2, stonehaven crescent, , pimlico, , ,19791103,25, 02 56829590,8360213
511,   levi, korolija,3, mt warning crescent, , belmont,6076, sa,19971227,36, ,1901452
527,   bryce, maddon,18, burnie street, , new farm,3138, nsw,19370112,8, 02 26798482,8403385
755,   james, brock,7, barangaroo street, yachting towers, alyangula,3028, qld,19790106,25, 04 91270448,7751323
197,   nikita, ten brummelaar,56, gleadow street, collier park vlge, winston hills,3806, nsw,19340813,26, 04 17577328,6211399
679,   jack, crellin,1, , lake macquarie vlge, bondi junction,2284, nsw,19860911,22, 08 92090286,9699675
13, harrvson, ranson,36, burtt crescent, , wongarra,2470, nsw,19608014,63, 04 35383265,3171097
464,   chloe, grainger,80, peacock place, bramhall, casino,3371, ,19470227,21, 04 86513357,8663808
548, chelsea, stubbs,75, jackie howe crescent, , mepu nga,3437, vicw, ,39, 07 30896390,6594719
316, jac, musolinmo,36, brough place, , brighton,3216, vic,19410802,29, 03 27764673,1251792
601, melinda, robsdn,33, stacy street, , woolahra,3977, vkc,19120214,9, 07 59946341,3164754
